ACT Symbol|Security Name|Exchange|CQS Symbol|ETF|Round Lot Size|Test Issue|NASDAQ Symbol
BEKE|KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)|N|BEKE|N|100.0|N|BEKE
BEN|Franklin Resources, Inc. Common Stock|N|BEN|N|100.0|N|BEN
BEP|Brookfield Renewable Partners L.P. |N|BEP|N|100.0|N|BEP
BEPC|Brookfield Renewable Corporation Class A Subordinate Voting Shares |N|BEPC|N|100.0|N|BEPC
BEPH|Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes|N|BEPH|N|100.0|N|BEPH
BEPI|Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes|N|BEPI|N|100.0|N|BEPI
BEPJ|Brookfield BRP Holdings (Canada) Inc. 7.250% Perpetual Subordinated Notes|N|BEPJ|N|100.0|N|BEPJ
BERY|Berry Global Group, Inc. Common Stock|N|BERY|N|100.0|N|BERY
BEST|BEST Inc. American Depositary Shares, each representing twenty (20) Class A Ordinary Shares|N|BEST|N|100.0|N|BEST
BF.A|Brown Forman Inc Class A Common Stock|N|BF.A|N|100.0|N|BF.A
BF.B|Brown Forman Inc Class B Common Stock|N|BF.B|N|100.0|N|BF.B
BFAC|Battery Future Acquisition Corp. Class A Ordinary Shares|N|BFAC|N|100.0|N|BFAC
BFAM|Bright Horizons Family Solutions Inc. Common Stock|N|BFAM|N|100.0|N|BFAM
BFH|Bread Financial Holdings, Inc. Common Stock|N|BFH|N|100.0|N|BFH
BFK|BlackRock Municipal Income Trust|N|BFK|N|100.0|N|BFK
BFLY|Butterfly Network, Inc. Class A Common Stock|N|BFLY|N|100.0|N|BFLY
BFS|Saul Centers, Inc. Common Stock|N|BFS|N|100.0|N|BFS
BFZ|BlackRock California Municipal Income Trust|N|BFZ|N|100.0|N|BFZ
BG|Bunge Limited Common Shares|N|BG|N|100.0|N|BG
BGB|Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest|N|BGB|N|100.0|N|BGB
BGH|Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests|N|BGH|N|100.0|N|BGH
BGI|Birks Group Inc. Common Stock|A|BGI|N|100.0|N|BGI
BGR|BlackRock Energy and Resources Trust|N|BGR|N|100.0|N|BGR
